
"Date :  02/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  03/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  04/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  05/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  06/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  07/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"

"Date :  08/09/2024"
14,"Galaxy","Amritsar","Ludhiana"
15,"Jupiter","Amritsar","Jalandhar"
16,"Metro","Delhi","Mumbai"
17,"Vande Bharat","Chandigarh","Ludhiana"
18,"NXT","Himachal Pradesh","Jammu"
